Ticker: AMD
   fast_period  slow_period        pnl  final_value  init_cash
0           14           47 1574622.62   1674622.62     100000
1           14           49 1532859.13   1632859.13     100000
2           11           42 1523985.03   1623985.03     100000
3           16           47 1517963.84   1617963.84     100000
4           16           48 1499546.28   1599546.28     100000
5           12           50 1483829.00   1583829.00     100000
6           13           49 1481685.59   1581685.59     100000
7           10           52 1468305.27   1568305.27     100000
8           11           54 1462256.55   1562256.55     100000
9           12           40 1457068.35   1557068.35     100000

Ticker: INTC
   fast_period  slow_period      pnl  final_value  init_cash
0           22           43 32031.54    132031.54     100000
1           21           46 30716.71    130716.71     100000
2           22           44 28240.79    128240.79     100000
3           21           45 26686.41    126686.41     100000
4           22           42 25267.56    125267.56     100000
5           22           41 20285.90    120285.90     100000
6           20           46 19866.34    119866.34     100000
7           23           41 19615.02    119615.02     100000
8           22           49 18857.10    118857.10     100000
9           19           44 18538.24    118538.24     100000

Ticker: WORK
   fast_period  slow_period      pnl  final_value  init_cash
0           24           41 63320.83    163320.83     100000
1           24           43 62029.61    162029.61     100000
2           22           42 61061.64    161061.64     100000
3           23           40 59506.53    159506.53     100000
4           24           42 57516.47    157516.47     100000
5           23           45 56344.70    156344.70     100000
6           24           44 55518.26    155518.26     100000
7           21           45 55031.47    155031.47     100000
8           22           43 54735.98    154735.98     100000
9           21           46 54435.77    154435.77     100000

Ticker: ZM
   fast_period  slow_period       pnl  final_value  init_cash
0           19           25 404710.45    504710.45     100000
1           20           51 396266.80    496266.80     100000
2           19           53 383631.38    483631.38     100000
3           20           52 382226.03    482226.03     100000
4           24           51 380132.63    480132.63     100000
5           18           54 375939.93    475939.93     100000
6           20           54 375567.11    475567.11     100000
7           21           50 373122.10    473122.10     100000
8           21           52 373094.65    473094.65     100000
9           24           52 371023.35    471023.35     100000

Ticker: SNE
   fast_period  slow_period       pnl  final_value  init_cash
0           18           49 151120.74    251120.74     100000
1           18           50 150300.14    250300.14     100000
2           17           50 150092.28    250092.28     100000
3           17           52 149767.15    249767.15     100000
4           17           51 146880.69    246880.69     100000
5           18           53 144395.94    244395.94     100000
6           18           51 143544.34    243544.34     100000
7           18           52 141661.98    241661.98     100000
8           16           51 139904.60    239904.60     100000
9           14           48 136177.47    236177.47     100000

Ticker: ATVI
   fast_period  slow_period       pnl  final_value  init_cash
0           10           34 255835.66    355835.66     100000
1           10           37 253629.35    353629.35     100000
2           10           35 249693.10    349693.10     100000
3           10           33 239785.94    339785.94     100000
4           10           36 232144.68    332144.68     100000
5           11           32 225303.49    325303.49     100000
6           10           38 211829.51    311829.51     100000
7           11           33 211065.32    311065.32     100000
8           10           32 210346.25    310346.25     100000
9           13           31 210287.75    310287.75     100000

Ticker: EBAY
   fast_period  slow_period      pnl  final_value  init_cash
0           14           51 51944.61    151944.61     100000
1           19           41 49402.39    149402.39     100000
2           18           39 48240.70    148240.70     100000
3           19           40 47124.74    147124.74     100000
4           14           52 45280.83    145280.83     100000
5           11           52 44722.44    144722.44     100000
6           18           40 44556.99    144556.99     100000
7           17           45 43629.24    143629.24     100000
8           14           54 42416.39    142416.39     100000
9           19           39 42273.32    142273.32     100000

Ticker: NFLX
   fast_period  slow_period       pnl  final_value  init_cash
0           19           25 215037.85    315037.85     100000
1           17           26 214343.38    314343.38     100000
2           18           27 210442.20    310442.20     100000
3           17           28 203319.27    303319.27     100000
4           18           26 203024.90    303024.90     100000
5           17           49 198723.09    298723.09     100000
6           19           26 195799.70    295799.70     100000
7           24           41 188996.83    288996.83     100000
8           17           27 188293.46    288293.46     100000
9           17           47 188276.50    288276.50     100000

Ticker: TTWO
   fast_period  slow_period       pnl  final_value  init_cash
0           15           46 384383.01    484383.01     100000
1           14           48 379568.72    479568.72     100000
2           12           50 379549.87    479549.87     100000
3           11           53 369391.55    469391.55     100000
4           15           48 366475.22    466475.22     100000
5           12           51 364489.79    464489.79     100000
6           11           52 361850.56    461850.56     100000
7           15           49 359797.30    459797.30     100000
8           15           47 359200.42    459200.42     100000
9           13           51 357691.18    457691.18     100000

Ticker: EA
   fast_period  slow_period      pnl  final_value  init_cash
0           19           25 69736.07    169736.07     100000
1           23           41 66532.98    166532.98     100000
2           13           42 65057.65    165057.65     100000
3           14           42 64411.75    164411.75     100000
4           24           41 63508.51    163508.51     100000
5           24           43 63075.04    163075.04     100000
6           24           37 60548.46    160548.46     100000
7           18           25 59884.28    159884.28     100000
8           24           40 59091.63    159091.63     100000
9           23           40 58419.95    158419.95     100000

Ticker: ZNGA
   fast_period  slow_period      pnl  final_value  init_cash
0           23           41 52133.50    152133.50     100000
1           24           54 48629.61    148629.61     100000
2           24           50 47308.18    147308.18     100000
3           23           53 45458.49    145458.49     100000
4           24           49 45366.14    145366.14     100000
5           24           41 45121.75    145121.75     100000
6           23           43 45108.97    145108.97     100000
7           22           42 44588.32    144588.32     100000
8           24           43 44013.50    144013.50     100000
9           23           44 42402.02    142402.02     100000

Ticker: NVDA
   fast_period  slow_period        pnl  final_value  init_cash
0           10           29 1297153.31   1397153.31     100000
1           13           36 1286234.32   1386234.32     100000
2           13           33 1281833.78   1381833.78     100000
3           10           30 1241770.64   1341770.64     100000
4           13           38 1229373.47   1329373.47     100000
5           16           49 1228424.98   1328424.98     100000
6           11           29 1226480.32   1326480.32     100000
7           13           37 1220287.05   1320287.05     100000
8           15           30 1210732.03   1310732.03     100000
9           15           51 1198047.74   1298047.74     100000

Ticker: MU
   fast_period  slow_period       pnl  final_value  init_cash
0           13           43 133762.03    233762.03     100000
1           13           45 130723.45    230723.45     100000
2           13           44 127600.06    227600.06     100000
3           11           42 121674.64    221674.64     100000
4           10           48 120507.55    220507.55     100000
5           10           54 116669.71    216669.71     100000
6           10           49 115198.76    215198.76     100000
7           10           53 112930.98    212930.98     100000
8           11           50 112718.32    212718.32     100000
9           11           49 107582.59    207582.59     100000

Ticker: WHR
   fast_period  slow_period       pnl  final_value  init_cash
0           16           26  -8524.63     91475.37     100000
1           10           28  -9332.78     90667.22     100000
2           10           27 -11393.17     88606.83     100000
3           14           35 -11542.42     88457.58     100000
4           14           34 -12332.39     87667.61     100000
5           11           26 -12537.51     87462.49     100000
6           13           33 -13039.37     86960.63     100000
7           22           28 -14394.84     85605.16     100000
8           10           34 -14576.05     85423.95     100000
9           15           34 -14688.27     85311.73     100000

Ticker: ASML
   fast_period  slow_period       pnl  final_value  init_cash
0           19           46 117950.88    217950.88     100000
1           19           49 116107.86    216107.86     100000
2           20           46 107280.86    207280.86     100000
3           19           45 106872.91    206872.91     100000
4           18           44 105401.63    205401.63     100000
5           19           48 105347.21    205347.21     100000
6           18           46 102714.80    202714.80     100000
7           17           44 102192.14    202192.14     100000
8           18           45 101572.66    201572.66     100000
9           15           45 100747.00    200747.00     100000

Ticker: PFE
   fast_period  slow_period       pnl  final_value  init_cash
0           10           25 -19794.98     80205.02     100000
1           18           25 -19838.21     80161.79     100000
2           16           26 -23640.41     76359.59     100000
3           17           25 -23734.40     76265.60     100000
4           15           27 -24119.34     75880.66     100000
5           15           26 -24490.50     75509.50     100000
6           13           28 -24738.65     75261.35     100000
7           19           25 -26095.72     73904.28     100000
8           15           28 -26385.32     73614.68     100000
9           12           26 -26490.32     73509.68     100000

Ticker: TSLA
   fast_period  slow_period       pnl  final_value  init_cash
0           24           52 384074.91    484074.91     100000
1           11           36 382718.68    482718.68     100000
2           10           38 377472.17    477472.17     100000
3           10           37 375169.95    475169.95     100000
4           12           32 367596.20    467596.20     100000
5           10           36 366911.58    466911.58     100000
6           11           35 362234.12    462234.12     100000
7           10           35 358334.80    458334.80     100000
8           11           34 357882.30    457882.30     100000
9           10           34 355987.99    455987.99     100000

Ticker: DXCM
   fast_period  slow_period       pnl  final_value  init_cash
0           21           36 223721.95    323721.95     100000
1           17           35 222551.83    322551.83     100000
2           13           42 215369.70    315369.70     100000
3           18           36 215103.32    315103.32     100000
4           17           36 213444.62    313444.62     100000
5           14           42 206200.19    306200.19     100000
6           14           41 203529.32    303529.32     100000
7           17           34 200034.17    300034.17     100000
8           13           41 198742.90    298742.90     100000
9           13           40 198309.63    298309.63     100000

Ticker: CRM
   fast_period  slow_period       pnl  final_value  init_cash
0           18           50 133584.73    233584.73     100000
1           15           51 129421.96    229421.96     100000
2           19           46 123880.29    223880.29     100000
3           19           45 120092.65    220092.65     100000
4           20           47 119288.13    219288.13     100000
5           15           52 119279.07    219279.07     100000
